"Town","FIPS","Year","Grade","MeasureType","Variable","Value"
"Watertown","0900580490",2008,"1","Percent","Students absent 20 or more days",3.5
"West Hartford","0900382590",2008,"1","Percent","Students absent 20 or more days",3.1
"West Haven","0900982870",2008,"1","Percent","Students absent 20 or more days",9.7
"Westbrook","0900781680",2008,"1","Percent","Students absent 20 or more days",0
"Weston","0900183430",2008,"1","Percent","Students absent 20 or more days",6.4
"Westport","0900183500",2008,"1","Percent","Students absent 20 or more days",4.2
"Wethersfield","0900384900",2008,"1","Percent","Students absent 20 or more days",3
"Willington","0901385950",2008,"1","Percent","Students absent 20 or more days",7.8
"Wilton","0900186370",2008,"1","Percent","Students absent 20 or more days",2.1
"Winchester","0900586440",2008,"1","Percent","Students absent 20 or more days",5.8
"Windham","0901586790",2008,"1","Percent","Students absent 20 or more days",11.5
"Windsor","0900387000",2008,"1","Percent","Students absent 20 or more days",4.6
"Windsor Locks","0900387070",2008,"1","Percent","Students absent 20 or more days",1.7
"Wolcott","0900987560",2008,"1","Percent","Students absent 20 or more days",1
"Woodbridge","0900987700",2008,"1","Percent","Students absent 20 or more days",0
"Woodbury","0900587910",2008,"1","Percent","Students absent 20 or more days",14.5
"Woodstock","0901588190",2008,"1","Percent","Students absent 20 or more days",6.4
"Andover","0901301080",2009,"1","Percent","Students absent 20 or more days",2.2
"Ansonia","0900901220",2009,"1","Percent","Students absent 20 or more days",8.6
"Ashford","0901501430",2009,"1","Percent","Students absent 20 or more days",2.9
"Avon","0900302060",2009,"1","Percent","Students absent 20 or more days",3.5
"Barkhamsted","0900502760",2009,"1","Percent","Students absent 20 or more days",0
"Beacon Falls","0900903250",2009,"1","Percent","Students absent 20 or more days",4.5
"Berlin","0900304300",2009,"1","Percent","Students absent 20 or more days",3.8
"Bethany","0900904580",2009,"1","Percent","Students absent 20 or more days",2.6
"Bethel","0900104720",2009,"1","Percent","Students absent 20 or more days",4
"Bethlehem","0900504930",2009,"1","Percent","Students absent 20 or more days",3.5
"Bloomfield","0900305910",2009,"1","Percent","Students absent 20 or more days",3.5
"Bolton","0901306260",2009,"1","Percent","Students absent 20 or more days",6.8
"Bozrah","0901106820",2009,"1","Percent","Students absent 20 or more days",4.8
"Branford","0900907310",2009,"1","Percent","Students absent 20 or more days",6.1
"Bridgeport","0900108070",2009,"1","Percent","Students absent 20 or more days",15.4
"Bridgewater","0900508210",2009,"1","Percent","Students absent 20 or more days",7.1
"Bristol","0900308490",2009,"1","Percent","Students absent 20 or more days",9.9
"Brookfield","0900108980",2009,"1","Percent","Students absent 20 or more days",4.6
"Brooklyn","0901509190",2009,"1","Percent","Students absent 20 or more days",6.9
"Burlington","0900310100",2009,"1","Percent","Students absent 20 or more days",3.5
"Canaan","0900510940",2009,"1","Percent","Students absent 20 or more days",0
"Canterbury","0901512130",2009,"1","Percent","Students absent 20 or more days",2.4
"Canton","0900312270",2009,"1","Percent","Students absent 20 or more days",2.2
"Chaplin","0901513810",2009,"1","Percent","Students absent 20 or more days",9.1
"Cheshire","0900914160",2009,"1","Percent","Students absent 20 or more days",4
"Chester","0900714300",2009,"1","Percent","Students absent 20 or more days",2.2
"Clinton","0900715350",2009,"1","Percent","Students absent 20 or more days",3
"Colchester","0901115910",2009,"1","Percent","Students absent 20 or more days",0.9
"Colebrook","0900516050",2009,"1","Percent","Students absent 20 or more days",0
"Columbia","0901316400",2009,"1","Percent","Students absent 20 or more days",3.3
"Cornwall","0900517240",2009,"1","Percent","Students absent 20 or more days",7.7
"Coventry","0901317800",2009,"1","Percent","Students absent 20 or more days",4.1
"Cromwell","0900718080",2009,"1","Percent","Students absent 20 or more days",7.6
"Danbury","0900118500",2009,"1","Percent","Students absent 20 or more days",5.2
"Darien","0900118850",2009,"1","Percent","Students absent 20 or more days",1.8
